Id;DriverId;UserId;Departure;Destination;CreateDate;UpdateDate;PlateNo;Price;DepLatitude;DepLongitude;DesLatitude;DesLongitude;TripsStatus;CancelUser;tripStarted
4560;37;86;Atakent, Ferhat Sk. No:5, 41275 Basiskele/Kocaeli, Türkiye;Atakent, Zübeyde Hanim Cd. No:70, 41275 Basiskele/Kocaeli, Türkiye;2020-08-26 16:18:05.553000000;2020-08-26 16:22:04.500000000;41T4007;12;40,706463;29,888748;40,707416;29,891744;True;False;True
4566;38;92;Uzunbey, Unnamed Road, Kocaeli, Türkiye;Uzunçiftlik Hürriyet, Anadolu Otoyolu No:81, 41250 Kartepe/Kocaeli, Türkiye;2020-08-26 16:53:10.587000000;2020-08-26 17:01:56.707000000;41T1213;35;40,769119;30,03877;40,762381;30,027804;True;False;True
4567;41;132;Uzunbey, Unnamed Road, 41180 Kartepe/Kocaeli, Türkiye;Ulus, Samdan Sk. 2 D, 41250 Kartepe/Kocaeli, Türkiye;2020-08-26 16:54:02.230000000;2020-08-26 16:58:02.230000000;41T4103 ;48;40,766675;30,039328;40,755303;30,029673;True;False;True
4568;46;133;Uzunbey, Bayraktar Yolu Sk. No:75, 41180 Kartepe/Kocaeli, Türkiye;Ertugrul Gazi, Ertugrul Gazi Parki, Maresal Fevzi Çakmak Cd., 41250 Kartepe/Kocaeli, Türkiye;2020-08-26 16:54:53.857000000;2020-08-26 17:03:12.257000000;41T4085 ;30;40,77119;30,057486;40,757681;30,027498;True;False;True
4569;47;134;Uzunbey, Unnamed Road, 41310 Kocaeli, Türkiye;Cumhuriyet, Bereket Sk. No:2, 41250 Kartepe/Kocaeli, Türkiye;2020-08-26 16:55:23.700000000;2020-08-26 17:06:45.210000000;41T4032 ;20;40,770943;30,039975;40,762805;30,024599;True;False;True
4570;48;135;Alikahya Atatürk, Unnamed Road, 41310 Izmit/Kocaeli, Türkiye;Uzunçiftlik Hürriyet, Altindag Cd. No:39, 41250 Kartepe/Kocaeli, Türkiye;2020-08-26 16:55:48.950000000;2020-08-26 17:08:46.533000000;41T4011 ;30;40,785023;30,035924;40,760519;30,031817;True;False;True
4571;49;136;Atatürk OSB, Uzundere Sk No:26, 41310 Izmit/Kocaeli, Türkiye;Ulus, Seyhan Sk. No:12, 41250 Kartepe/Kocaeli, Türkiye;2020-08-26 16:58:40.707000000;2020-08-26 17:11:12.827000000;41T4061 ;28;40,781143;30,047038;40,755838;30,028639;True;False;True
4572;50;138;Atatürk OSB, Turnaoglu Cd. No:283, 41310 Izmit/Kocaeli, Türkiye;Uzunçiftlik Hürriyet, Anadolu Otoyolu No:81, 41250 Kartepe/Kocaeli, Türkiye;2020-08-26 17:01:19.677000000;2020-08-26 17:14:05.250000000;41T4027 ;24;40,781001;30,051808;40,762519;30,028061;True;False;True
4573;51;139;Uzunçiftlik Hürriyet, Maresal Fevzi Çakmak Cd. No:49, 41250 Kartepe/Kocaeli, Türkiye;Uzunbey, Çengel Cd. No:119, 41180 Kartepe/Kocaeli, Türkiye;2020-08-26 17:03:10.540000000;2020-08-26 17:18:03.237000000;41T4108 ;28;40,757621;30,026395;40,772524;30,05179;True;False;True
4574;52;140;Ulus, Tugra Sk. No:26, 41250 Kartepe/Kocaeli, Türkiye;Uzunbey, Unnamed Road, 41180 Kartepe/Kocaeli, Türkiye;2020-08-26 17:03:44.307000000;2020-08-26 17:17:12.810000000;41T4058 ;12;40,756947;30,026508;40,766123;30,034562;True;False;True
4575;53;141;Ertugrul Gazi, Ertugrul Gazi Parki, Maresal Fevzi Çakmak Cd., 41250 Kartepe/Kocaeli, Türkiye;Alikahya Atatürk, Unnamed Road, 41310 Izmit/Kocaeli, Türkiye;2020-08-26 17:04:11.180000000;2020-08-26 17:44:56.767000000;41T4057 ;29;40,75702;30,027626;40,784609;30,038184;True;False;True
4576;54;142;Petrol, Barisçi Sk. No:2, 41250 Kartepe/Kocaeli, Türkiye;Eseler, Çengel Cd., 41000 Izmit/Kocaeli, Türkiye;2020-08-26 17:05:27.653000000;2020-08-26 17:28:54.460000000;41T4024 ;100;40,755519;30,031089;40,793173;30,048728;True;False;True
