Longitude,Latitude
-7.39733200073242,4.07638053894043
-7.39868621826172,4.07193832397461
-7.3982524,4.075126
-7.398116,4.0767807
-7.3966046,4.0789775
-7.3960983,4.0765547
-7.3949013,4.0773204
-7.3777282,4.0646636
-7.4014099,4.0709638
-7.3969582,4.0765519
-7.3989374,4.0741973
-7.4001614,4.0740893
-7.3991198,4.0739937
-7.3982034,4.0762723
-7.3992455,4.0728701
-7.3983583,4.0746993
-7.4006746,4.0731721
-7.3976446,4.0785598
-7.3973548,4.0763349
-7.3970918,4.0756025
-7.3926071,4.0705866
-7.3970555,4.0764702
-7.3989102,4.073636
-7.4003525,4.074848
-7.3990352,4.0759992
-7.3989482,4.075745
-7.3870785,4.0773722
-7.3992682,4.0733877
-7.395402,4.0778705
-7.3972742,4.0743432
-7.3953515,4.0771137
-7.399959,4.073863
-7.3958925,4.0763727
-7.396996,4.0793912
-7.3955135,4.0780062
-7.3981367,4.074415
-7.3977608,4.0749272
-7.4005682,4.0738755
-7.4006635,4.074421
-7.3954927,4.0783217
-7.400477,4.0746977
-7.400544,4.0745935
-7.401311,4.070408
-7.3980173,4.074585
-7.399287,4.075307
-7.396409,4.0776612
-7.398736,4.0729017
-7.396744,4.0772032
-7.3996132,4.0726167
-7.3986387,4.0739997
-7.3997102,4.0722197
-7.3993222,4.0747247
-7.3989773,4.073411
-7.3986618,4.0761682
-7.399221,4.0730832
-7.396384,4.0768102
-7.396038,4.0776002
-7.397256,4.0756255
-7.3977347,4.0758262
-7.396619,4.076811
-7.3993332,4.0689932
-7.3989652,4.0772837
-7.3994922,4.0749567
-7.3984972,4.0736205
-7.398,4.0745682
-7.3975752,4.0781657
-7.3994077,4.0741197
-7.3972752,4.076462
-7.3992943,4.074247
-7.396919,4.076946
-7.4003227,4.0725407
-7.3971583,4.0766377
-7.397615,4.0739872
-7.397318,4.0755452
-7.396829,4.0755192
-7.3948185,4.0774497
-7.378196,4.064479
-7.3986835,4.076629
-7.397961,4.076717
-7.3955017,4.0773412
-7.3992555,4.0714095
-7.3961491,4.0776958
-7.3993505,4.074981
-7.3988536,4.0721543
-7.3973565,4.0754947
-7.398206,4.077772
-7.3988327,4.074821
-7.3995295,4.074963
-7.4012938,4.070807
-7.397194,4.0762475
-7.4002072,4.0740237
-7.3991572,4.0749837
-7.3991395,4.0735137
-7.3997557,4.0756537
-7.3955755,4.077963
-7.39583,4.080089
-7.4003687,4.070605
-7.3999117,4.0734173
-7.399088,4.075554
-7.3975692,4.0782117
-7.3954693,4.0773215
-7.3935207,4.075077
-7.3790352,4.0643745
-7.3983213,4.0744428
-7.4001452,4.0734487
-7.3967087,4.0788497
-7.3987818,4.075985
-7.3983472,4.0738922
-7.3981537,4.074393
-7.398403,4.0757731
-7.3790212,4.0644205
-7.3977597,4.0758087
-7.397876,4.0736587
-7.4002925,4.0723357
-7.3983557,4.0770987
-7.3982112,4.0775165
-7.397107,4.076405
-7.398748,4.0776608
-7.4004957,4.0737597
-7.3987477,4.075013
-7.3950668,4.0779357
-7.398059,4.0747682
-7.397548,4.0776852
-7.3996185,4.0753532
-7.3958397,4.0778772
-7.3996115,4.0722317
-7.3969212,4.0761087
-7.4003515,4.0725305
-7.4007248,4.0727522
-7.3979138,4.0755022
-7.39624,4.0767412
-7.3958,4.0768752
-7.396765,4.0763025
-7.3994193,4.0751092
-7.399808,4.0736957
-7.3975412,4.0765327
-7.3995857,4.0732792
-7.399488,4.0765705
-7.4008063,4.0722182
-7.40018,4.074079
-7.395429,4.0766287
-7.4005452,4.0707692
-7.3993063,4.0757987
-7.398722,4.0722402
-7.3981957,4.0768555
-7.3980095,4.0755147
-7.3958775,4.0772602
-7.399619,4.0743327
-7.3970323,4.0793943
-7.397472,4.076165
-7.399233,4.0743607
-7.3990102,4.0756892
-7.39851,4.07365
-7.3967846,4.0801121
-7.3983598,4.0744122
-7.4003716,4.072374
-7.3964083,4.0771029
-7.3970698,4.0788531
-7.3987433,4.0760706
-7.3974478,4.0756004
-7.4010012,4.0720559
-7.3964135,4.0757195
-7.3863752,4.0771078
-7.3992531,4.0758518
-7.4010177,4.0721474
-7.3977022,4.0747605
-7.3996535,4.0716279
-7.3915507,4.0746298
-7.3946295,4.0780178
-7.3995487,4.0730777
-7.3983985,4.0769246
-7.397265,4.0759165
-7.4001481,4.0727788
-7.4005496,4.0745833
-7.3950124,4.0809802
-7.3982742,4.0761639
-7.4000951,4.073185
-7.3980988,4.0752928
-7.3994588,4.0745616
-7.3973,4.07642
-7.3999641418457,4.07612838745117
-7.39976806640625,4.07409133911133
-7.39843902587891,4.0696403503418
-7.39804382324219,4.07344779968262
-7.4000547,4.0742711
-7.3986059,4.0750543
-7.4005436,4.0721001
-7.399076,4.0750222
-7.3971341,4.0751362
-7.3995792,4.0753923
-7.3942504,4.0812047
-7.4009985,4.0721755
-7.3999344,4.0742281
-7.3989861,4.076742
-7.3980611,4.0751283
-7.3997552,4.0721409
-7.3993943,4.0740982
-7.4000256,4.0730506
-7.40013732910156,4.07370567321777
-7.3996852,4.0737529
-7.3959735,4.0767036
-7.3998827,4.0724698
-7.3982587,4.0746472
-7.3959245,4.0767553
-7.3976646,4.0749266
-7.3985901,4.075565
-7.4011108,4.0715461
-7.3991668,4.0749447
-7.3973334,4.0763702
-7.3983765,4.0765684
-7.39784,4.0744983
-7.4003236,4.0731949
-7.4009518,4.0746582
-7.3990302,4.0750902
-7.4000283,4.0737562
-7.4003962,4.074789
-7.396623,4.075384
-7.3974375,4.0679922
-7.3973798,4.0687278
-7.3979785,4.0775892
-7.397977,4.0739613
-7.4004512,4.0730533
-7.398237,4.0773378
-7.3874508,4.0774035
-7.3952852,4.0772537
-7.3992417,4.0748752
-7.3974753,4.0737138
-7.396851,4.0754948
-7.4001977,4.0724452
-7.3988713,4.0718857
-7.3982157,4.0674133
-7.3985117,4.0758853
-7.398666,4.0722447
-7.3951082,4.0825677
-7.3984588,4.0728882
-7.398893,4.0763657
-7.3990338,4.0718968
-7.4004547,4.0742232
-7.3963667,4.0761457
-7.3997988,4.0721363
-7.3994255,4.0745455
-7.3991552,4.0750048
-7.397631,4.0775892
-7.3950557,4.0826583
-7.399407,4.0751413
-7.3950275,4.0784657
-7.3988043,4.0759873
-7.3874537,4.0774122
-7.3778122,4.0646807
-7.3983595,4.0729822
-7.3989715,4.0756712
-7.3870935,4.077375
-7.3991002,4.0739687
-7.3997767,4.0751432
-7.3991543,4.0666665
-7.3991032,4.0755988
-7.3992658,4.0748482
-7.3962542,4.0762998
-7.3963585,4.0710397
-7.4000685,4.0720933
-7.3814387,4.106966
-7.3986485,4.0730183
-7.3871065,4.0773777
-7.3990668,4.0746012
-7.4005023,4.0710738
-7.398909,4.0721515
-7.396821,4.0762427
-7.3998213,4.0745158
-7.378442,4.0648597
-7.3968527,4.0758878
-7.4002903,4.0728115
-7.3986823,4.076135
-7.3973117,4.0754395
-7.3958269,4.0779908
-7.3969176,4.0764169
-7.3961577,4.0777312
-7.3989398,4.0751316
-7.3977029,4.0683456
-7.3995692,4.0757253
-7.4047394,4.0785789
-7.3967037,4.076666
-7.4004578,4.0742129
-7.3986673,4.0718198
-7.3945484,4.0746101
-7.3977639,4.0725903
-7.39754257202148,4.07543869018555
-7.3980749,4.0742435
-7.3945536,4.0833451
-7.3993275,4.0722275
-7.3999149,4.0746061
-7.3993689,4.0728997
-7.39962,4.0732
-7.3987262,4.0742164
-7.3960248,4.0761936
-7.3977633,4.0752277
-7.3965528,4.0762879
-7.3962552,4.0775699
-7.4001353,4.0741201
-7.3872133,4.0774087
-7.3985668,4.0749403
-7.3991737,4.0750655
-7.3796322,4.0644648
-7.4015458,4.0714485
-7.4002458,4.071431
-7.3958552,4.0769183
-7.3988188,4.0757833
-7.3982017,4.0770807
-7.3988137,4.0779293
-7.3980645,4.0765977
-7.3930543,4.0753273
-7.3990807,4.0751103
-7.3990105,4.0734572
-7.3995112,4.0739862
-7.396555,4.0766002
-7.3986717,4.0730783
-7.3958567,4.0768842
-7.3969942,4.0785188
-7.3991613,4.0754678
-7.3985862,4.0744027
-7.399154,4.0730893
-7.3977813,4.0738423
-7.398519,4.0745418
-7.3949462,4.0776897
-7.3987567,4.0757443
-7.3962423,4.0778952
-7.3964985,4.0759758
-7.3949347,4.0785538
-7.3988543,4.0749687
-7.397784,4.0786948
-7.400074,4.0720285
-7.3980472,4.0748928
-7.3982533,4.076194
-7.3938777,4.0757383
-7.397486,4.0761463
-7.3954737,4.0769655
-7.3968628,4.0764537
-7.3936032,4.076747
-7.3972385,4.0786987
-7.3872397,4.0773882
-7.3953078,4.0786945
-7.4010133,4.072069
-7.3885215,4.0772903
-7.3966453,4.0773302
-7.3997457,4.0736698
-7.3978615,4.0753438
-7.3981185,4.0733208
-7.3984282,4.0737372
-7.397648,4.0759562
-7.386209,4.0768017
